"","from_gene","Homo_sapiens","Mus_musculus","to_symbol"
"LOC129661836","LOC129661836","129661836",NA,NA
"LOC129661837","LOC129661837","129661837",NA,NA
"LOC129661838","LOC129661838","129661838",NA,NA
"LOC129661839","LOC129661839","129661839",NA,NA
"LOC129661840","LOC129661840","129661840",NA,NA
"LOC129661841","LOC129661841","129661841",NA,NA
"LOC129661842","LOC129661842","129661842",NA,NA
"LOC129661843","LOC129661843","129661843",NA,NA
"LOC129661844","LOC129661844","129661844",NA,NA
"LOC129661845","LOC129661845","129661845",NA,NA
"LOC129661846","LOC129661846","129661846",NA,NA
"LOC129661847","LOC129661847","129661847",NA,NA
"LOC129661848","LOC129661848","129661848",NA,NA
"LOC129661849","LOC129661849","129661849",NA,NA
"LOC129661850","LOC129661850","129661850",NA,NA
"LOC129661851","LOC129661851","129661851",NA,NA
"LOC129661852","LOC129661852","129661852",NA,NA
"LOC129661853","LOC129661853","129661853",NA,NA
"LOC129661854","LOC129661854","129661854",NA,NA
"LOC129661855","LOC129661855","129661855",NA,NA
"LOC129661856","LOC129661856","129661856",NA,NA
"LOC129661857","LOC129661857","129661857",NA,NA
"LOC129661858","LOC129661858","129661858",NA,NA
"LOC129661859","LOC129661859","129661859",NA,NA
"LOC129661860","LOC129661860","129661860",NA,NA
"LOC129661861","LOC129661861","129661861",NA,NA
"LOC129661862","LOC129661862","129661862",NA,NA
"LOC129661863","LOC129661863","129661863",NA,NA
"LOC129661864","LOC129661864","129661864",NA,NA
"LOC129661865","LOC129661865","129661865",NA,NA
"LOC129661866","LOC129661866","129661866",NA,NA
"LOC129661867","LOC129661867","129661867",NA,NA
"LOC129661868","LOC129661868","129661868",NA,NA
"LOC129661869","LOC129661869","129661869",NA,NA
"LOC129661870","LOC129661870","129661870",NA,NA
"LOC129661871","LOC129661871","129661871",NA,NA
"LOC129661872","LOC129661872","129661872",NA,NA
"LOC129661873","LOC129661873","129661873",NA,NA
"LOC129661874","LOC129661874","129661874",NA,NA
"LOC129661875","LOC129661875","129661875",NA,NA
"LOC129661876","LOC129661876","129661876",NA,NA
"LOC129661877","LOC129661877","129661877",NA,NA
"LOC129661878","LOC129661878","129661878",NA,NA
"LOC129661879","LOC129661879","129661879",NA,NA
"LOC129661880","LOC129661880","129661880",NA,NA
"LOC129661881","LOC129661881","129661881",NA,NA
"LOC129661882","LOC129661882","129661882",NA,NA
"LOC129661883","LOC129661883","129661883",NA,NA
"LOC129661884","LOC129661884","129661884",NA,NA
"LOC129661885","LOC129661885","129661885",NA,NA
"LOC129661886","LOC129661886","129661886",NA,NA
"LOC129661887","LOC129661887","129661887",NA,NA
"LOC129661888","LOC129661888","129661888",NA,NA
"LOC129661889","LOC129661889","129661889",NA,NA
"LOC129661890","LOC129661890","129661890",NA,NA
"LOC129661891","LOC129661891","129661891",NA,NA
"LOC129661892","LOC129661892","129661892",NA,NA
"LOC129661893","LOC129661893","129661893",NA,NA
"LOC129661894","LOC129661894","129661894",NA,NA
"LOC129661895","LOC129661895","129661895",NA,NA
"LOC129661896","LOC129661896","129661896",NA,NA
"LOC129661897","LOC129661897","129661897",NA,NA
"LOC129661898","LOC129661898","129661898",NA,NA
"LOC129661899","LOC129661899","129661899",NA,NA
"LOC129661900","LOC129661900","129661900",NA,NA
"LOC129661901","LOC129661901","129661901",NA,NA
"LOC129661902","LOC129661902","129661902",NA,NA
"LOC129661903","LOC129661903","129661903",NA,NA
"LOC129661904","LOC129661904","129661904",NA,NA
"LOC129661905","LOC129661905","129661905",NA,NA
"LOC129661906","LOC129661906","129661906",NA,NA
"LOC129661907","LOC129661907","129661907",NA,NA
"LOC129661908","LOC129661908","129661908",NA,NA
"LOC129661909","LOC129661909","129661909",NA,NA
"LOC129661910","LOC129661910","129661910",NA,NA
"LOC129661911","LOC129661911","129661911",NA,NA
"LOC129661912","LOC129661912","129661912",NA,NA
"LOC129661913","LOC129661913","129661913",NA,NA
"LOC129661914","LOC129661914","129661914",NA,NA
"LOC129661915","LOC129661915","129661915",NA,NA
"LOC129661916","LOC129661916","129661916",NA,NA
"LOC129661917","LOC129661917","129661917",NA,NA
"LOC129661918","LOC129661918","129661918",NA,NA
"LOC129661919","LOC129661919","129661919",NA,NA
"LOC129661920","LOC129661920","129661920",NA,NA
"LOC129661921","LOC129661921","129661921",NA,NA
"LOC129661922","LOC129661922","129661922",NA,NA
"LOC129661923","LOC129661923","129661923",NA,NA
"LOC129661924","LOC129661924","129661924",NA,NA
"LOC129661925","LOC129661925","129661925",NA,NA
"LOC129661926","LOC129661926","129661926",NA,NA
"LOC129661927","LOC129661927","129661927",NA,NA
"LOC129661928","LOC129661928","129661928",NA,NA
"LOC129661929","LOC129661929","129661929",NA,NA
"LOC129661930","LOC129661930","129661930",NA,NA
"LOC129661931","LOC129661931","129661931",NA,NA
"LOC129661932","LOC129661932","129661932",NA,NA
"LOC129661933","LOC129661933","129661933",NA,NA
"LOC129661934","LOC129661934","129661934",NA,NA
"LOC129661935","LOC129661935","129661935",NA,NA
"LOC129661936","LOC129661936","129661936",NA,NA
"LOC129661937","LOC129661937","129661937",NA,NA
"LOC129661938","LOC129661938","129661938",NA,NA
"LOC129661939","LOC129661939","129661939",NA,NA
"LOC129661940","LOC129661940","129661940",NA,NA
"LOC129661941","LOC129661941","129661941",NA,NA
"LOC129661942","LOC129661942","129661942",NA,NA
"LOC129661943","LOC129661943","129661943",NA,NA
"LOC129661944","LOC129661944","129661944",NA,NA
"LOC129661945","LOC129661945","129661945",NA,NA
"LOC129661946","LOC129661946","129661946",NA,NA
"LOC129661947","LOC129661947","129661947",NA,NA
"LOC129661948","LOC129661948","129661948",NA,NA
"LOC129661949","LOC129661949","129661949",NA,NA
"LOC129661950","LOC129661950","129661950",NA,NA
"LOC129661951","LOC129661951","129661951",NA,NA
"LOC129661952","LOC129661952","129661952",NA,NA
"LOC129661953","LOC129661953","129661953",NA,NA
"LOC129661954","LOC129661954","129661954",NA,NA
"LOC129661955","LOC129661955","129661955",NA,NA
"LOC129661956","LOC129661956","129661956",NA,NA
"LOC129661957","LOC129661957","129661957",NA,NA
"LOC129661958","LOC129661958","129661958",NA,NA
"LOC129661959","LOC129661959","129661959",NA,NA
"LOC129661960","LOC129661960","129661960",NA,NA
"LOC129661961","LOC129661961","129661961",NA,NA
"LOC129661962","LOC129661962","129661962",NA,NA
"LOC129661963","LOC129661963","129661963",NA,NA
"LOC129661964","LOC129661964","129661964",NA,NA
"LOC129661965","LOC129661965","129661965",NA,NA
"LOC129661966","LOC129661966","129661966",NA,NA
"LOC129661967","LOC129661967","129661967",NA,NA
"LOC129661968","LOC129661968","129661968",NA,NA
"LOC129661969","LOC129661969","129661969",NA,NA
"LOC129661970","LOC129661970","129661970",NA,NA
"LOC129661971","LOC129661971","129661971",NA,NA
"LOC129661972","LOC129661972","129661972",NA,NA
"LOC129661973","LOC129661973","129661973",NA,NA
"LOC129661974","LOC129661974","129661974",NA,NA
"LOC129661975","LOC129661975","129661975",NA,NA
"LOC129661976","LOC129661976","129661976",NA,NA
"LOC129661977","LOC129661977","129661977",NA,NA
"LOC129661978","LOC129661978","129661978",NA,NA
"LOC129661979","LOC129661979","129661979",NA,NA
"LOC129661980","LOC129661980","129661980",NA,NA
"LOC129661981","LOC129661981","129661981",NA,NA
"LOC129661982","LOC129661982","129661982",NA,NA
"LOC129661983","LOC129661983","129661983",NA,NA
"LOC129661984","LOC129661984","129661984",NA,NA
"LOC129661985","LOC129661985","129661985",NA,NA
"LOC129661986","LOC129661986","129661986",NA,NA
"LOC129661987","LOC129661987","129661987",NA,NA
"LOC129661988","LOC129661988","129661988",NA,NA
"LOC129661989","LOC129661989","129661989",NA,NA
"LOC129661990","LOC129661990","129661990",NA,NA
"LOC129661991","LOC129661991","129661991",NA,NA
"LOC129661992","LOC129661992","129661992",NA,NA
"LOC129661993","LOC129661993","129661993",NA,NA
"LOC129661994","LOC129661994","129661994",NA,NA
"LOC129661995","LOC129661995","129661995",NA,NA
"LOC129661996","LOC129661996","129661996",NA,NA
"LOC129661997","LOC129661997","129661997",NA,NA
"LOC129661998","LOC129661998","129661998",NA,NA
"LOC129661999","LOC129661999","129661999",NA,NA
"LOC129662000","LOC129662000","129662000",NA,NA
"LOC129662001","LOC129662001","129662001",NA,NA
"LOC129662002","LOC129662002","129662002",NA,NA
"LOC129662003","LOC129662003","129662003",NA,NA
"LOC129662004","LOC129662004","129662004",NA,NA
"LOC129662005","LOC129662005","129662005",NA,NA
"LOC129662006","LOC129662006","129662006",NA,NA
"LOC129662007","LOC129662007","129662007",NA,NA
"LOC129662008","LOC129662008","129662008",NA,NA
"LOC129662009","LOC129662009","129662009",NA,NA
"LOC129662010","LOC129662010","129662010",NA,NA
"LOC129662011","LOC129662011","129662011",NA,NA
"LOC129662012","LOC129662012","129662012",NA,NA
"LOC129662013","LOC129662013","129662013",NA,NA
"LOC129662014","LOC129662014","129662014",NA,NA
"LOC129662015","LOC129662015","129662015",NA,NA
"LOC129662016","LOC129662016","129662016",NA,NA
"LOC129662017","LOC129662017","129662017",NA,NA
"LOC129662018","LOC129662018","129662018",NA,NA
"LOC129662019","LOC129662019","129662019",NA,NA
"LOC129662020","LOC129662020","129662020",NA,NA
"LOC129662021","LOC129662021","129662021",NA,NA
"LOC129662022","LOC129662022","129662022",NA,NA
"LOC129662023","LOC129662023","129662023",NA,NA
"LOC129662024","LOC129662024","129662024",NA,NA
"LOC129662025","LOC129662025","129662025",NA,NA
"LOC129662026","LOC129662026","129662026",NA,NA
"LOC129662027","LOC129662027","129662027",NA,NA
"LOC129662028","LOC129662028","129662028",NA,NA
"LOC129662029","LOC129662029","129662029",NA,NA
"LOC129662030","LOC129662030","129662030",NA,NA
"LOC129662031","LOC129662031","129662031",NA,NA
"LOC129662032","LOC129662032","129662032",NA,NA
"LOC129662033","LOC129662033","129662033",NA,NA
"LOC129662034","LOC129662034","129662034",NA,NA
"LOC129662035","LOC129662035","129662035",NA,NA
"LOC129662036","LOC129662036","129662036",NA,NA
"LOC129662037","LOC129662037","129662037",NA,NA
"LOC129662038","LOC129662038","129662038",NA,NA
"LOC129662039","LOC129662039","129662039",NA,NA
"LOC129662040","LOC129662040","129662040",NA,NA
"LOC129662041","LOC129662041","129662041",NA,NA
"LOC129662042","LOC129662042","129662042",NA,NA
"LOC129662043","LOC129662043","129662043",NA,NA
"LOC129662044","LOC129662044","129662044",NA,NA
"LOC129662045","LOC129662045","129662045",NA,NA
"LOC129662046","LOC129662046","129662046",NA,NA
"LOC129662047","LOC129662047","129662047",NA,NA
"LOC129662048","LOC129662048","129662048",NA,NA
"LOC129662049","LOC129662049","129662049",NA,NA
"LOC129662050","LOC129662050","129662050",NA,NA
"LOC129662051","LOC129662051","129662051",NA,NA
"LOC129662052","LOC129662052","129662052",NA,NA
"LOC129662053","LOC129662053","129662053",NA,NA
"LOC129662054","LOC129662054","129662054",NA,NA
"LOC129662055","LOC129662055","129662055",NA,NA
"LOC129662056","LOC129662056","129662056",NA,NA
"LOC129662057","LOC129662057","129662057",NA,NA
"LOC129662058","LOC129662058","129662058",NA,NA
"LOC129662059","LOC129662059","129662059",NA,NA
"LOC129662060","LOC129662060","129662060",NA,NA
"LOC129662061","LOC129662061","129662061",NA,NA
"LOC129662062","LOC129662062","129662062",NA,NA
"LOC129662063","LOC129662063","129662063",NA,NA
"LOC129662064","LOC129662064","129662064",NA,NA
"LOC129662065","LOC129662065","129662065",NA,NA
"LOC129662066","LOC129662066","129662066",NA,NA
"LOC129662067","LOC129662067","129662067",NA,NA
"LOC129662068","LOC129662068","129662068",NA,NA
"LOC129662069","LOC129662069","129662069",NA,NA
"LOC129662070","LOC129662070","129662070",NA,NA
"LOC129662071","LOC129662071","129662071",NA,NA
"LOC129662072","LOC129662072","129662072",NA,NA
"LOC129662073","LOC129662073","129662073",NA,NA
"LOC129662074","LOC129662074","129662074",NA,NA
"LOC129662075","LOC129662075","129662075",NA,NA
"LOC129662076","LOC129662076","129662076",NA,NA
"LOC129662077","LOC129662077","129662077",NA,NA
"LOC129662078","LOC129662078","129662078",NA,NA
"LOC129662079","LOC129662079","129662079",NA,NA
"LOC129662080","LOC129662080","129662080",NA,NA
"LOC129662081","LOC129662081","129662081",NA,NA
"LOC129662082","LOC129662082","129662082",NA,NA
"LOC129662083","LOC129662083","129662083",NA,NA
"LOC129662084","LOC129662084","129662084",NA,NA
"LOC129662085","LOC129662085","129662085",NA,NA
"LOC129662086","LOC129662086","129662086",NA,NA
"LOC129662087","LOC129662087","129662087",NA,NA
"LOC129662088","LOC129662088","129662088",NA,NA
"LOC129662089","LOC129662089","129662089",NA,NA
"LOC129662090","LOC129662090","129662090",NA,NA
"LOC129662091","LOC129662091","129662091",NA,NA
"LOC129662092","LOC129662092","129662092",NA,NA
"LOC129662093","LOC129662093","129662093",NA,NA
"LOC129662094","LOC129662094","129662094",NA,NA
"LOC129662095","LOC129662095","129662095",NA,NA
"LOC129662096","LOC129662096","129662096",NA,NA
"LOC129662097","LOC129662097","129662097",NA,NA
"LOC129662098","LOC129662098","129662098",NA,NA
"LOC129662099","LOC129662099","129662099",NA,NA
"LOC129662100","LOC129662100","129662100",NA,NA
"LOC129662101","LOC129662101","129662101",NA,NA
"LOC129662102","LOC129662102","129662102",NA,NA
"LOC129662103","LOC129662103","129662103",NA,NA
"LOC129662104","LOC129662104","129662104",NA,NA
"LOC129662105","LOC129662105","129662105",NA,NA
"LOC129662106","LOC129662106","129662106",NA,NA
"LOC129662107","LOC129662107","129662107",NA,NA
"LOC129662108","LOC129662108","129662108",NA,NA
"LOC129662109","LOC129662109","129662109",NA,NA
"LOC129662110","LOC129662110","129662110",NA,NA
"LOC129662111","LOC129662111","129662111",NA,NA
"LOC129662112","LOC129662112","129662112",NA,NA
"LOC129662113","LOC129662113","129662113",NA,NA
"LOC129662114","LOC129662114","129662114",NA,NA
"LOC129662115","LOC129662115","129662115",NA,NA
"LOC129662116","LOC129662116","129662116",NA,NA
"LOC129662117","LOC129662117","129662117",NA,NA
"LOC129662118","LOC129662118","129662118",NA,NA
"LOC129662119","LOC129662119","129662119",NA,NA
"LOC129662120","LOC129662120","129662120",NA,NA
"LOC129662121","LOC129662121","129662121",NA,NA
"LOC129662122","LOC129662122","129662122",NA,NA
"LOC129662123","LOC129662123","129662123",NA,NA
"LOC129662124","LOC129662124","129662124",NA,NA
"LOC129662125","LOC129662125","129662125",NA,NA
"LOC129662126","LOC129662126","129662126",NA,NA
"LOC129662127","LOC129662127","129662127",NA,NA
"LOC129662128","LOC129662128","129662128",NA,NA
"LOC129662129","LOC129662129","129662129",NA,NA
"LOC129662130","LOC129662130","129662130",NA,NA
"LOC129662131","LOC129662131","129662131",NA,NA
"LOC129662132","LOC129662132","129662132",NA,NA
"LOC129662133","LOC129662133","129662133",NA,NA
"LOC129662134","LOC129662134","129662134",NA,NA
"LOC129662135","LOC129662135","129662135",NA,NA
"LOC129662136","LOC129662136","129662136",NA,NA
"LOC129662137","LOC129662137","129662137",NA,NA
"LOC129662138","LOC129662138","129662138",NA,NA
"LOC129662139","LOC129662139","129662139",NA,NA
"LOC129662140","LOC129662140","129662140",NA,NA
"LOC129662141","LOC129662141","129662141",NA,NA
"LOC129662142","LOC129662142","129662142",NA,NA
"LOC129662143","LOC129662143","129662143",NA,NA
"LOC129662144","LOC129662144","129662144",NA,NA
"LOC129662145","LOC129662145","129662145",NA,NA
"LOC129662146","LOC129662146","129662146",NA,NA
"LOC129662147","LOC129662147","129662147",NA,NA
"LOC129662148","LOC129662148","129662148",NA,NA
"LOC129662149","LOC129662149","129662149",NA,NA
"LOC129662150","LOC129662150","129662150",NA,NA
"LOC129662151","LOC129662151","129662151",NA,NA
"LOC129662152","LOC129662152","129662152",NA,NA
"LOC129662153","LOC129662153","129662153",NA,NA
"LOC129662154","LOC129662154","129662154",NA,NA
"LOC129662155","LOC129662155","129662155",NA,NA
"LOC129662156","LOC129662156","129662156",NA,NA
"LOC129662157","LOC129662157","129662157",NA,NA
"LOC129662158","LOC129662158","129662158",NA,NA
"LOC129662159","LOC129662159","129662159",NA,NA
"LOC129662160","LOC129662160","129662160",NA,NA
"LOC129662161","LOC129662161","129662161",NA,NA
"LOC129662162","LOC129662162","129662162",NA,NA
"LOC129662163","LOC129662163","129662163",NA,NA
"LOC129662164","LOC129662164","129662164",NA,NA
"LOC129662165","LOC129662165","129662165",NA,NA
"LOC129662166","LOC129662166","129662166",NA,NA
"LOC129662167","LOC129662167","129662167",NA,NA
"LOC129662168","LOC129662168","129662168",NA,NA
"LOC129662169","LOC129662169","129662169",NA,NA
"LOC129662170","LOC129662170","129662170",NA,NA
"LOC129662171","LOC129662171","129662171",NA,NA
"LOC129662172","LOC129662172","129662172",NA,NA
"LOC129662173","LOC129662173","129662173",NA,NA
"LOC129662174","LOC129662174","129662174",NA,NA
"LOC129662175","LOC129662175","129662175",NA,NA
"LOC129662176","LOC129662176","129662176",NA,NA
"LOC129662177","LOC129662177","129662177",NA,NA
"LOC129662178","LOC129662178","129662178",NA,NA
"LOC129662179","LOC129662179","129662179",NA,NA
"LOC129662180","LOC129662180","129662180",NA,NA
"LOC129662181","LOC129662181","129662181",NA,NA
"LOC129662182","LOC129662182","129662182",NA,NA
"LOC129662183","LOC129662183","129662183",NA,NA
"LOC129662184","LOC129662184","129662184",NA,NA
"LOC129662185","LOC129662185","129662185",NA,NA
"LOC129662186","LOC129662186","129662186",NA,NA
"LOC129662187","LOC129662187","129662187",NA,NA
"LOC129662188","LOC129662188","129662188",NA,NA
"LOC129662189","LOC129662189","129662189",NA,NA
"LOC129662190","LOC129662190","129662190",NA,NA
"LOC129662191","LOC129662191","129662191",NA,NA
"LOC129662192","LOC129662192","129662192",NA,NA
"LOC129662193","LOC129662193","129662193",NA,NA
"LOC129662194","LOC129662194","129662194",NA,NA
"LOC129662195","LOC129662195","129662195",NA,NA
"LOC129662196","LOC129662196","129662196",NA,NA
"LOC129662197","LOC129662197","129662197",NA,NA
"LOC129662198","LOC129662198","129662198",NA,NA
"LOC129662199","LOC129662199","129662199",NA,NA
"LOC129662200","LOC129662200","129662200",NA,NA
"LOC129662201","LOC129662201","129662201",NA,NA
"LOC129662202","LOC129662202","129662202",NA,NA
"LOC129662203","LOC129662203","129662203",NA,NA
"LOC129662204","LOC129662204","129662204",NA,NA
"LOC129662205","LOC129662205","129662205",NA,NA
"LOC129662206","LOC129662206","129662206",NA,NA
"LOC129662207","LOC129662207","129662207",NA,NA
"LOC129662208","LOC129662208","129662208",NA,NA
"LOC129662209","LOC129662209","129662209",NA,NA
"LOC129662210","LOC129662210","129662210",NA,NA
"LOC129662211","LOC129662211","129662211",NA,NA
"LOC129662212","LOC129662212","129662212",NA,NA
"LOC129662213","LOC129662213","129662213",NA,NA
"LOC129662214","LOC129662214","129662214",NA,NA
"LOC129662215","LOC129662215","129662215",NA,NA
"LOC129662216","LOC129662216","129662216",NA,NA
"LOC129662217","LOC129662217","129662217",NA,NA
"LOC129662218","LOC129662218","129662218",NA,NA
"LOC129662219","LOC129662219","129662219",NA,NA
"LOC129662220","LOC129662220","129662220",NA,NA
"LOC129662221","LOC129662221","129662221",NA,NA
"LOC129662222","LOC129662222","129662222",NA,NA
"LOC129662223","LOC129662223","129662223",NA,NA
"LOC129662224","LOC129662224","129662224",NA,NA
"LOC129662225","LOC129662225","129662225",NA,NA
"LOC129662226","LOC129662226","129662226",NA,NA
"LOC129662227","LOC129662227","129662227",NA,NA
"LOC129662228","LOC129662228","129662228",NA,NA
"LOC129662229","LOC129662229","129662229",NA,NA
"LOC129662230","LOC129662230","129662230",NA,NA
"LOC129662231","LOC129662231","129662231",NA,NA
"LOC129662232","LOC129662232","129662232",NA,NA
"LOC129662233","LOC129662233","129662233",NA,NA
"LOC129662234","LOC129662234","129662234",NA,NA
"LOC129662235","LOC129662235","129662235",NA,NA
"LOC129662236","LOC129662236","129662236",NA,NA
"LOC129662237","LOC129662237","129662237",NA,NA
"LOC129662238","LOC129662238","129662238",NA,NA
"LOC129662239","LOC129662239","129662239",NA,NA
"LOC129662240","LOC129662240","129662240",NA,NA
"LOC129662241","LOC129662241","129662241",NA,NA
"LOC129662242","LOC129662242","129662242",NA,NA
"LOC129662243","LOC129662243","129662243",NA,NA
"LOC129662244","LOC129662244","129662244",NA,NA
"LOC129662245","LOC129662245","129662245",NA,NA
"LOC129662246","LOC129662246","129662246",NA,NA
"LOC129662247","LOC129662247","129662247",NA,NA
"LOC129662248","LOC129662248","129662248",NA,NA
"LOC129662249","LOC129662249","129662249",NA,NA
"LOC129662250","LOC129662250","129662250",NA,NA
"LOC129662251","LOC129662251","129662251",NA,NA
"LOC129662252","LOC129662252","129662252",NA,NA
"LOC129662253","LOC129662253","129662253",NA,NA
"LOC129662254","LOC129662254","129662254",NA,NA
"LOC129662255","LOC129662255","129662255",NA,NA
"LOC129662256","LOC129662256","129662256",NA,NA
"LOC129662257","LOC129662257","129662257",NA,NA
"LOC129662258","LOC129662258","129662258",NA,NA
"LOC129662259","LOC129662259","129662259",NA,NA
"LOC129662260","LOC129662260","129662260",NA,NA
"LOC129662261","LOC129662261","129662261",NA,NA
"LOC129662262","LOC129662262","129662262",NA,NA
"LOC129662263","LOC129662263","129662263",NA,NA
"LOC129662264","LOC129662264","129662264",NA,NA
"LOC129662265","LOC129662265","129662265",NA,NA
"LOC129662266","LOC129662266","129662266",NA,NA
"LOC129662267","LOC129662267","129662267",NA,NA
"LOC129662268","LOC129662268","129662268",NA,NA
"LOC129662269","LOC129662269","129662269",NA,NA
"LOC129662270","LOC129662270","129662270",NA,NA
"LOC129662271","LOC129662271","129662271",NA,NA
"LOC129662272","LOC129662272","129662272",NA,NA
"LOC129662273","LOC129662273","129662273",NA,NA
"LOC129662274","LOC129662274","129662274",NA,NA
"LOC129662275","LOC129662275","129662275",NA,NA
"LOC129662276","LOC129662276","129662276",NA,NA
"LOC129662277","LOC129662277","129662277",NA,NA
"LOC129662278","LOC129662278","129662278",NA,NA
"LOC129662279","LOC129662279","129662279",NA,NA
"LOC129662280","LOC129662280","129662280",NA,NA
"LOC129662281","LOC129662281","129662281",NA,NA
"LOC129662282","LOC129662282","129662282",NA,NA
"LOC129662283","LOC129662283","129662283",NA,NA
"LOC129662284","LOC129662284","129662284",NA,NA
"LOC129662285","LOC129662285","129662285",NA,NA
"LOC129662286","LOC129662286","129662286",NA,NA
"LOC129662287","LOC129662287","129662287",NA,NA
"LOC129662288","LOC129662288","129662288",NA,NA
"LOC129662289","LOC129662289","129662289",NA,NA
"LOC129662290","LOC129662290","129662290",NA,NA
"LOC129662291","LOC129662291","129662291",NA,NA
"LOC129662292","LOC129662292","129662292",NA,NA
"LOC129662293","LOC129662293","129662293",NA,NA
"LOC129662294","LOC129662294","129662294",NA,NA
"LOC129662295","LOC129662295","129662295",NA,NA
"LOC129662296","LOC129662296","129662296",NA,NA
"LOC129662297","LOC129662297","129662297",NA,NA
"LOC129662298","LOC129662298","129662298",NA,NA
"LOC129662299","LOC129662299","129662299",NA,NA
"LOC129662300","LOC129662300","129662300",NA,NA
"LOC129662301","LOC129662301","129662301",NA,NA
"LOC129662302","LOC129662302","129662302",NA,NA
"LOC129662303","LOC129662303","129662303",NA,NA
"LOC129662304","LOC129662304","129662304",NA,NA
"LOC129662305","LOC129662305","129662305",NA,NA
"LOC129662306","LOC129662306","129662306",NA,NA
"LOC129662307","LOC129662307","129662307",NA,NA
"LOC129662308","LOC129662308","129662308",NA,NA
"LOC129662309","LOC129662309","129662309",NA,NA
"LOC129662310","LOC129662310","129662310",NA,NA
"LOC129662311","LOC129662311","129662311",NA,NA
"LOC129662312","LOC129662312","129662312",NA,NA
"LOC129662313","LOC129662313","129662313",NA,NA
"LOC129662314","LOC129662314","129662314",NA,NA
"LOC129662315","LOC129662315","129662315",NA,NA
"LOC129662316","LOC129662316","129662316",NA,NA
"LOC129662317","LOC129662317","129662317",NA,NA
"LOC129662318","LOC129662318","129662318",NA,NA
"LOC129662319","LOC129662319","129662319",NA,NA
"LOC129662320","LOC129662320","129662320",NA,NA
"LOC129662321","LOC129662321","129662321",NA,NA
"LOC129662322","LOC129662322","129662322",NA,NA
"LOC129662323","LOC129662323","129662323",NA,NA
"LOC129662324","LOC129662324","129662324",NA,NA
"LOC129662325","LOC129662325","129662325",NA,NA
"LOC129662326","LOC129662326","129662326",NA,NA
"LOC129662327","LOC129662327","129662327",NA,NA
"LOC129662328","LOC129662328","129662328",NA,NA
"LOC129662329","LOC129662329","129662329",NA,NA
"LOC129662330","LOC129662330","129662330",NA,NA
"LOC129662331","LOC129662331","129662331",NA,NA
"LOC129662332","LOC129662332","129662332",NA,NA
"LOC129662333","LOC129662333","129662333",NA,NA
"LOC129662334","LOC129662334","129662334",NA,NA
"LOC129662335","LOC129662335","129662335",NA,NA
"LOC129662336","LOC129662336","129662336",NA,NA
"LOC129662337","LOC129662337","129662337",NA,NA
"LOC129662338","LOC129662338","129662338",NA,NA
"LOC129662339","LOC129662339","129662339",NA,NA
"LOC129662340","LOC129662340","129662340",NA,NA
"LOC129662341","LOC129662341","129662341",NA,NA
"LOC129662342","LOC129662342","129662342",NA,NA
"LOC129662343","LOC129662343","129662343",NA,NA
"LOC129662344","LOC129662344","129662344",NA,NA
"LOC129662345","LOC129662345","129662345",NA,NA
"LOC129662346","LOC129662346","129662346",NA,NA
"LOC129662347","LOC129662347","129662347",NA,NA
"LOC129662348","LOC129662348","129662348",NA,NA
"LOC129662349","LOC129662349","129662349",NA,NA
"LOC129662350","LOC129662350","129662350",NA,NA
"LOC129662351","LOC129662351","129662351",NA,NA
"LOC129662352","LOC129662352","129662352",NA,NA
"LOC129662353","LOC129662353","129662353",NA,NA
"LOC129662354","LOC129662354","129662354",NA,NA
"LOC129662355","LOC129662355","129662355",NA,NA
"LOC129662356","LOC129662356","129662356",NA,NA
"LOC129662357","LOC129662357","129662357",NA,NA
"LOC129662358","LOC129662358","129662358",NA,NA
"LOC129662359","LOC129662359","129662359",NA,NA
"LOC129662360","LOC129662360","129662360",NA,NA
"LOC129662361","LOC129662361","129662361",NA,NA
"LOC129662362","LOC129662362","129662362",NA,NA
"LOC129662363","LOC129662363","129662363",NA,NA
"LOC129662364","LOC129662364","129662364",NA,NA
"LOC129662365","LOC129662365","129662365",NA,NA
"LOC129662366","LOC129662366","129662366",NA,NA
"LOC129662367","LOC129662367","129662367",NA,NA
"LOC129662368","LOC129662368","129662368",NA,NA
"LOC129662369","LOC129662369","129662369",NA,NA
"LOC129662370","LOC129662370","129662370",NA,NA
"LOC129662371","LOC129662371","129662371",NA,NA
"LOC129662372","LOC129662372","129662372",NA,NA
"LOC129662373","LOC129662373","129662373",NA,NA
"LOC129662374","LOC129662374","129662374",NA,NA
"LOC129662375","LOC129662375","129662375",NA,NA
"LOC129662376","LOC129662376","129662376",NA,NA
"LOC129662377","LOC129662377","129662377",NA,NA
"LOC129662378","LOC129662378","129662378",NA,NA
"LOC129662379","LOC129662379","129662379",NA,NA
"LOC129662380","LOC129662380","129662380",NA,NA
"LOC129662381","LOC129662381","129662381",NA,NA
"LOC129662382","LOC129662382","129662382",NA,NA
"LOC129662383","LOC129662383","129662383",NA,NA
"LOC129662384","LOC129662384","129662384",NA,NA
"LOC129662385","LOC129662385","129662385",NA,NA
"LOC129662386","LOC129662386","129662386",NA,NA
"LOC129662387","LOC129662387","129662387",NA,NA
"LOC129662388","LOC129662388","129662388",NA,NA
"LOC129662389","LOC129662389","129662389",NA,NA
"LOC129662390","LOC129662390","129662390",NA,NA
"LOC129662391","LOC129662391","129662391",NA,NA
"LOC129662392","LOC129662392","129662392",NA,NA
"LOC129662393","LOC129662393","129662393",NA,NA
