"","from_gene","Mus_musculus","Homo_sapiens","to_symbol"
"Gm33743","Gm33743","102636761",NA,NA
"Gm33745","Gm33745","102636763",NA,NA
"Gm29536","Gm29536","102636764",NA,NA
"Gm33746","Gm33746","102636765",NA,NA
"Gm33747","Gm33747","102636766",NA,NA
"Gm33748","Gm33748","102636768",NA,NA
"Lcn15","Lcn15","102636769",389812,"LCN15"
"Gm33750","Gm33750","102636770",NA,NA
"Gm33751","Gm33751","102636772",NA,NA
"Gm33752","Gm33752","102636773",NA,NA
"Gm33753","Gm33753","102636774",NA,NA
"Gm33754","Gm33754","102636775",NA,NA
"Gm20108","Gm20108","102636776",NA,NA
"Gm12665","Gm12665","102636777",NA,NA
"Gm33756","Gm33756","102636779",NA,NA
"Gm16069","Gm16069","102636781",NA,NA
"Gm33758","Gm33758","102636782",NA,NA
"Gm33759","Gm33759","102636783",NA,NA
"Gm8757","Gm8757","102636784",NA,NA
"Gm33760","Gm33760","102636785",NA,NA
"Gm28290","Gm28290","102636786",NA,NA
"Gm33763","Gm33763","102636789",NA,NA
"Gm33764","Gm33764","102636790",NA,NA
"Gm33765","Gm33765","102636791",NA,NA
"Gm3187","Gm3187","102636792",NA,NA
"Gm45752","Gm45752","102636793",NA,NA
"Gm33767","Gm33767","102636794",NA,NA
"Gm20190","Gm20190","102636795",NA,NA
"Gm33769","Gm33769","102636797",NA,NA
"Gm33770","Gm33770","102636798",NA,NA
"Gm33771","Gm33771","102636799",NA,NA
"Gm33772","Gm33772","102636800",NA,NA
"Gm33774","Gm33774","102636802",NA,NA
"Gm15496","Gm15496","102636803",NA,NA
"Gm33776","Gm33776","102636805",NA,NA
"Gm33777","Gm33777","102636806",NA,NA
"Gm33778","Gm33778","102636807",NA,NA
"Gm38491","Gm38491","102636808",NA,NA
"Gm33779","Gm33779","102636809",NA,NA
"Gm33780","Gm33780","102636811",NA,NA
"Gm33781","Gm33781","102636812",NA,NA
"Gm33782","Gm33782","102636813",NA,NA
"Gm11400","Gm11400","102636815",NA,NA
"Scgb2b14-ps","Scgb2b14-ps","102636816",NA,NA
"Gm33784","Gm33784","102636818",NA,NA
"Gm33785","Gm33785","102636819",NA,NA
"Gm33786","Gm33786","102636820",NA,NA
"Gm28255","Gm28255","102636821",NA,NA
"Gm28219","Gm28219","102636822",NA,NA
"Gm28888","Gm28888","102636823",NA,NA
"Gm33787","Gm33787","102636824",NA,NA
"Gm33788","Gm33788","102636825",NA,NA
"Gm15322","Gm15322","102636826",NA,NA
"Gm33789","Gm33789","102636827",NA,NA
"Gm19726","Gm19726","102636828",NA,NA
"Gm33790","Gm33790","102636830",NA,NA
"Gm33791","Gm33791","102636831",NA,NA
"Gm33793","Gm33793","102636833",NA,NA
"Gm33794","Gm33794","102636834",NA,NA
"Gm33795","Gm33795","102636835",NA,NA
"Gm17202","Gm17202","102636836",NA,NA
"Gm33797","Gm33797","102636838",NA,NA
"Gm33798","Gm33798","102636839",NA,NA
"Gm33799","Gm33799","102636840",NA,NA
"Gm33800","Gm33800","102636843",NA,NA
"Gm16049","Gm16049","102636844",NA,NA
"Gm33801","Gm33801","102636845",NA,NA
"Gm33802","Gm33802","102636846",NA,NA
"Gm33803","Gm33803","102636847",NA,NA
"Gm33804","Gm33804","102636848",NA,NA
"Gm14170","Gm14170","102636849",NA,NA
"Gm33805","Gm33805","102636850",NA,NA
"Gm33806","Gm33806","102636851",NA,NA
"Gm33809","Gm33809","102636855",NA,NA
"Gm33810","Gm33810","102636856",NA,NA
"Gm28916","Gm28916","102636857",NA,NA
"Gm33811","Gm33811","102636858",NA,NA
"Gm33813","Gm33813","102636860",NA,NA
"Gm33814","Gm33814","102636861",NA,NA
"Gm33815","Gm33815","102636862",NA,NA
"Gm33817","Gm33817","102636864",NA,NA
"Gm33818","Gm33818","102636865",NA,NA
"Gm33819","Gm33819","102636866",NA,NA
"Gm33820","Gm33820","102636867",NA,NA
"Gm33821","Gm33821","102636868",NA,NA
"Gm27167","Gm27167","102636870",NA,NA
"Gm33823","Gm33823","102636872",NA,NA
"Gm8247","Gm8247","102636873",NA,NA
"Gm33824","Gm33824","102636874",NA,NA
"Gm33825","Gm33825","102636875",NA,NA
"Gm33826","Gm33826","102636876",NA,NA
"Gm33827","Gm33827","102636877",NA,NA
"Gm33828","Gm33828","102636878",NA,NA
"Gm33829","Gm33829","102636879",NA,NA
"Gm33830","Gm33830","102636880",NA,NA
"Gm33831","Gm33831","102636881",NA,NA
"Gm33832","Gm33832","102636882",NA,NA
"Gm33833","Gm33833","102636883",NA,NA
"Gm33834","Gm33834","102636884",NA,NA
"Gm33836","Gm33836","102636886",NA,NA
"Gm33837","Gm33837","102636887",NA,NA
"Gm33838","Gm33838","102636888",NA,NA
"Gm12374","Gm12374","102636890",NA,NA
"Gm33840","Gm33840","102636891",NA,NA
"Gm33841","Gm33841","102636892",NA,NA
"Gm33842","Gm33842","102636893",NA,NA
"Gm8270","Gm8270","102636894",NA,NA
"Gm33843","Gm33843","102636895",NA,NA
"2410080I02Rik","2410080I02Rik","102636896",NA,NA
"Gm33844","Gm33844","102636897",NA,NA
"Gm33845","Gm33845","102636898",NA,NA
"Gm33847","Gm33847","102636901",NA,NA
"Gm17039","Gm17039","102636903",NA,NA
"Gm33849","Gm33849","102636904",NA,NA
"Gm26908","Gm26908","102636905",NA,NA
"Gm4275","Gm4275","102636907",NA,NA
"Gm33851","Gm33851","102636909",NA,NA
"Gm33852","Gm33852","102636910",NA,NA
"Gm33855","Gm33855","102636913",NA,NA
"Gm33856","Gm33856","102636915",NA,NA
"Gm33857","Gm33857","102636916",NA,NA
"Gm33858","Gm33858","102636917",NA,NA
"Gm15199","Gm15199","102636919",NA,NA
"Gm33860","Gm33860","102636920",NA,NA
"Gm33861","Gm33861","102636922",NA,NA
"Gm33862","Gm33862","102636923",NA,NA
"Scgb2b31-ps","Scgb2b31-ps","102636925",NA,NA
"Gm33864","Gm33864","102636926",NA,NA
"Gm33866","Gm33866","102636928",NA,NA
"Gm33867","Gm33867","102636929",NA,NA
"Gm33868","Gm33868","102636930",NA,NA
"Gm33869","Gm33869","102636931",NA,NA
"Gm28249","Gm28249","102636932",NA,NA
"Gm12707","Gm12707","102636934",NA,NA
"Gm21796","Gm21796","102636938",NA,NA
"Gm33873","Gm33873","102636939",NA,NA
"Gm28209","Gm28209","102636940",NA,NA
"Gm33874","Gm33874","102636941",NA,NA
"Gm33875","Gm33875","102636942",NA,NA
"Gm33877","Gm33877","102636944",NA,NA
"Gm26747","Gm26747","102636945",NA,NA
"Gm33878","Gm33878","102636947",NA,NA
"Gm8024","Gm8024","102636948",NA,NA
"Gm27047","Gm27047","102636949",NA,NA
"Gm33879","Gm33879","102636950",NA,NA
"Gm33880","Gm33880","102636951",NA,NA
"Gm33882","Gm33882","102636953",NA,NA
"Gm28411","Gm28411","102636957",NA,NA
"Gm28650","Gm28650","102636958",NA,NA
"Gm33885","Gm33885","102636959",NA,NA
"Gm28071","Gm28071","102636960",NA,NA
"Gm33886","Gm33886","102636961",NA,NA
"Gm33888","Gm33888","102636963",NA,NA
"Gm33889","Gm33889","102636964",NA,NA
"Gm33890","Gm33890","102636965",NA,NA
"Gm33891","Gm33891","102636966",NA,NA
"Gm33892","Gm33892","102636967",NA,NA
"Gm12381","Gm12381","102636968",NA,NA
"Gm33893","Gm33893","102636969",NA,NA
"Gm33894","Gm33894","102636970",NA,NA
"Gm33895","Gm33895","102636971",NA,NA
"Gm33896","Gm33896","102636972",NA,NA
"Gm33897","Gm33897","102636973",NA,NA
"Gm33898","Gm33898","102636974",NA,NA
"Gm21719","Gm21719","102636976",NA,NA
"Gm33901","Gm33901","102636978",NA,NA
"Gm29538","Gm29538","102636980",NA,NA
"Gm33903","Gm33903","102636981",NA,NA
"Gm33904","Gm33904","102636982",NA,NA
"Gm33905","Gm33905","102636983",NA,NA
"Gm33906","Gm33906","102636984",NA,NA
"Gm15755","Gm15755","102636986",NA,NA
"Gm11728","Gm11728","102636988",NA,NA
"Acte1","Acte1","102636989",NA,NA
"Gm33908","Gm33908","102636990",NA,NA
"Gm33909","Gm33909","102636991",NA,NA
"Gm33910","Gm33910","102636992",NA,NA
"Gm33911","Gm33911","102636993",NA,NA
"Gm33912","Gm33912","102636994",NA,NA
"Gm33914","Gm33914","102636996",NA,NA
"Gm33915","Gm33915","102636998",NA,NA
"Gm33916","Gm33916","102636999",NA,NA
"4930529I22Rik","4930529I22Rik","102637001",NA,NA
"Gm33919","Gm33919","102637003",NA,NA
"Gm12069","Gm12069","102637005",NA,NA
"Gm33921","Gm33921","102637006",NA,NA
"Gm33922","Gm33922","102637007",NA,NA
"Gm33923","Gm33923","102637008",NA,NA
"Gm33924","Gm33924","102637009",NA,NA
"Gm33925","Gm33925","102637010",NA,NA
"Gm33926","Gm33926","102637011",NA,NA
"LOC102637012","LOC102637012","102637012",283284,"IGSF22"
"Gm21809","Gm21809","102637013",NA,NA
"Gm33929","Gm33929","102637015",NA,NA
"Gm29577","Gm29577","102637016",NA,NA
"Gm33931","Gm33931","102637018",NA,NA
"Gm33932","Gm33932","102637019",NA,NA
"Gm33933","Gm33933","102637020",NA,NA
"Gm33934","Gm33934","102637022",NA,NA
"Gm33935","Gm33935","102637023",NA,NA
"Gm33936","Gm33936","102637024",NA,NA
"Gm33937","Gm33937","102637025",NA,NA
"Gm33938","Gm33938","102637026",NA,NA
"Gm33939","Gm33939","102637027",NA,NA
"Gm33940","Gm33940","102637028",NA,NA
"Gm33941","Gm33941","102637030",NA,NA
"Gm33942","Gm33942","102637031",NA,NA
"Gm33944","Gm33944","102637033",NA,NA
"Gm33945","Gm33945","102637034",NA,NA
"Gm17094","Gm17094","102637035",NA,NA
"Gm33946","Gm33946","102637036",NA,NA
"Gm33947","Gm33947","102637037",NA,NA
"Banf2os","Banf2os","102637038",NA,NA
"Gm33948","Gm33948","102637039",NA,NA
"Gm33950","Gm33950","102637041",NA,NA
"Gm33951","Gm33951","102637042",NA,NA
"Gm33952","Gm33952","102637043",NA,NA
"Gm33953","Gm33953","102637044",NA,NA
"Gm33954","Gm33954","102637045",NA,NA
"Gm33955","Gm33955","102637046",NA,NA
"Gm38492","Gm38492","102637048",NA,NA
"Gm38493","Gm38493","102637049",NA,NA
"Gm33957","Gm33957","102637050",NA,NA
"Gm29299","Gm29299","102637051",NA,NA
"Gm33958","Gm33958","102637052",NA,NA
"Gm33959","Gm33959","102637053",NA,NA
"Gm33961","Gm33961","102637055",NA,NA
"Gm33963","Gm33963","102637057",NA,NA
"Gm33964","Gm33964","102637058",NA,NA
"Gm11730","Gm11730","102637059",NA,NA
"Gm33966","Gm33966","102637061",NA,NA
"Gm33967","Gm33967","102637062",NA,NA
"Gm33968","Gm33968","102637063",NA,NA
"Gm33969","Gm33969","102637064",NA,NA
"Gm33970","Gm33970","102637066",NA,NA
"Gm33971","Gm33971","102637067",NA,NA
"Gm33972","Gm33972","102637068",NA,NA
"Gm33973","Gm33973","102637069",NA,NA
"Gm6358","Gm6358","102637070",NA,NA
"Gm33974","Gm33974","102637071",NA,NA
"Gm13561","Gm13561","102637074",NA,NA
"Gm33977","Gm33977","102637075",NA,NA
"Gm33979","Gm33979","102637077",NA,NA
"Gm33980","Gm33980","102637078",NA,NA
"Gm33981","Gm33981","102637079",NA,NA
"Gm33982","Gm33982","102637080",NA,NA
"Gm33983","Gm33983","102637081",NA,NA
"Gm33984","Gm33984","102637082",NA,NA
"Gm33985","Gm33985","102637083",NA,NA
"Gm33987","Gm33987","102637085",NA,NA
"Gm33988","Gm33988","102637086",NA,NA
"Gm33989","Gm33989","102637087",NA,NA
"Gm33990","Gm33990","102637088",NA,NA
"Gm33991","Gm33991","102637089",NA,NA
"Gm28193","Gm28193","102637091",NA,NA
"Gm21872","Gm21872","102637092",NA,NA
"Gm33993","Gm33993","102637093",NA,NA
"Gm19560","Gm19560","102637094",NA,NA
"Gm33994","Gm33994","102637095",NA,NA
"Gm33995","Gm33995","102637096",NA,NA
"Gm38494","Gm38494","102637097",NA,NA
"Gm26911","Gm26911","102637100",NA,NA
"Gm33997","Gm33997","102637101",NA,NA
"Gm33998","Gm33998","102637102",NA,NA
"Gm34000","Gm34000","102637104",NA,NA
"Gm34001","Gm34001","102637105",NA,NA
"Gm34002","Gm34002","102637106",NA,NA
"Ptf1aos","Ptf1aos","102637107",NA,NA
"Gm34003","Gm34003","102637108",NA,NA
"Gm34004","Gm34004","102637109",NA,NA
"Gm34005","Gm34005","102637110",NA,NA
"Gm20541","Gm20541","102637111",NA,NA
"Gm34006","Gm34006","102637112",NA,NA
"Gm34007","Gm34007","102637113",NA,NA
"Gm34008","Gm34008","102637114",NA,NA
"Gm34010","Gm34010","102637116",NA,NA
"Gm34011","Gm34011","102637118",NA,NA
"Gm34012","Gm34012","102637119",NA,NA
"Gm34013","Gm34013","102637120",NA,NA
"Gm34014","Gm34014","102637122",NA,NA
"Gm34015","Gm34015","102637123",NA,NA
"Gm21871","Gm21871","102637124",NA,NA
"Gm28243","Gm28243","102637125",NA,NA
"Gm34016","Gm34016","102637126",NA,NA
"Gm34017","Gm34017","102637127",NA,NA
"Gm12854","Gm12854","102637129",NA,NA
"Gm21241","Gm21241","102637130",NA,NA
"Gm12976","Gm12976","102637131",NA,NA
"Gm34019","Gm34019","102637132",NA,NA
"Gm34020","Gm34020","102637133",NA,NA
"Gm34022","Gm34022","102637135",NA,NA
"Gm34023","Gm34023","102637136",NA,NA
"Gm34024","Gm34024","102637137",NA,NA
"Gm34025","Gm34025","102637139",NA,NA
"Gm34026","Gm34026","102637140",NA,NA
"Gm12326","Gm12326","102637142",NA,NA
"Gm34027","Gm34027","102637143",NA,NA
"Gm34028","Gm34028","102637144",NA,NA
"Gm34029","Gm34029","102637145",NA,NA
"Gm34030","Gm34030","102637146",NA,NA
"Gm34031","Gm34031","102637147",NA,NA
"Gm34032","Gm34032","102637148",NA,NA
"Gm34033","Gm34033","102637149",NA,NA
"Gm34035","Gm34035","102637151",NA,NA
"Gm34036","Gm34036","102637152",NA,NA
"Gm34037","Gm34037","102637153",NA,NA
"Gm34038","Gm34038","102637154",NA,NA
"Gm34041","Gm34041","102637157",NA,NA
"Gm34042","Gm34042","102637158",NA,NA
"Gm34043","Gm34043","102637159",NA,NA
"Gm34044","Gm34044","102637160",NA,NA
"Gm34045","Gm34045","102637161",NA,NA
"Gm34046","Gm34046","102637162",NA,NA
"Scgb1b15","Scgb1b15","102637163",NA,NA
"Gm34047","Gm34047","102637164",NA,NA
"Gm34048","Gm34048","102637165",NA,NA
"Gm34049","Gm34049","102637166",NA,NA
"Gm34050","Gm34050","102637167",NA,NA
"Gm34052","Gm34052","102637169",NA,NA
"Gm34053","Gm34053","102637171",NA,NA
"Gm28637","Gm28637","102637173",NA,NA
"Gm29178","Gm29178","102637174",NA,NA
"Gm28368","Gm28368","102637175",NA,NA
"Gm20052","Gm20052","102637176",NA,NA
"Gm34056","Gm34056","102637177",NA,NA
"Gm34057","Gm34057","102637178",NA,NA
"Gm34058","Gm34058","102637179",NA,NA
"Gm38496","Gm38496","102637181",NA,NA
"Gm34059","Gm34059","102637182",NA,NA
"Gm34060","Gm34060","102637183",NA,NA
"Gm34061","Gm34061","102637184",NA,NA
"Gm34062","Gm34062","102637185",NA,NA
"Gm34064","Gm34064","102637187",NA,NA
"Gm34065","Gm34065","102637188",NA,NA
"Gm34066","Gm34066","102637189",401027,"C2orf66"
"Gm34067","Gm34067","102637190",NA,NA
"Gm34068","Gm34068","102637191",NA,NA
"Gm10061","Gm10061","102637192",NA,NA
"Gm13348","Gm13348","102637193",NA,NA
"Gm34069","Gm34069","102637194",NA,NA
"Gm34070","Gm34070","102637196",NA,NA
"Gm34071","Gm34071","102637197",NA,NA
"Gm34072","Gm34072","102637198",NA,NA
"Gm34073","Gm34073","102637199",NA,NA
"Gm6291","Gm6291","102637200",NA,NA
"Gm34074","Gm34074","102637201",NA,NA
"Gm34075","Gm34075","102637202",NA,NA
"Gm34076","Gm34076","102637203",NA,NA
"Gm34077","Gm34077","102637204",NA,NA
"Gm34078","Gm34078","102637205",NA,NA
"Gm34079","Gm34079","102637206",NA,NA
"Gm28442","Gm28442","102637207",NA,NA
"Gm34080","Gm34080","102637208",NA,NA
"Gm34081","Gm34081","102637209",NA,NA
"Gm21898","Gm21898","102637210",NA,NA
"Gm34084","Gm34084","102637213",NA,NA
"Gm20647","Gm20647","102637215",NA,NA
"Gm34086","Gm34086","102637216",NA,NA
"Gm34087","Gm34087","102637217",NA,NA
"Gm8795","Gm8795","102637219",NA,NA
"Gm34089","Gm34089","102637220",NA,NA
"Gm34090","Gm34090","102637221",NA,NA
"Gm34091","Gm34091","102637222",NA,NA
"Gm34092","Gm34092","102637223",NA,NA
"Gm34093","Gm34093","102637224",NA,NA
"Gm34095","Gm34095","102637226",NA,NA
"Gm34096","Gm34096","102637227",NA,NA
"Gm34097","Gm34097","102637228",NA,NA
"Gm34098","Gm34098","102637229",NA,NA
"Gm34099","Gm34099","102637230",NA,NA
"Gm34100","Gm34100","102637231",NA,NA
"Gm34101","Gm34101","102637232",NA,NA
"Gm34102","Gm34102","102637233",NA,NA
"Gm20082","Gm20082","102637234",NA,NA
"Gm34103","Gm34103","102637235",NA,NA
"Gm34105","Gm34105","102637237",NA,NA
"Gm27234","Gm27234","102637238",NA,NA
"Gm34106","Gm34106","102637239",NA,NA
"Gm34107","Gm34107","102637240",NA,NA
"Gm34110","Gm34110","102637243",NA,NA
"Gm34111","Gm34111","102637245",NA,NA
"Gm34112","Gm34112","102637246",NA,NA
"Gm34113","Gm34113","102637247",NA,NA
"Gm34114","Gm34114","102637248",NA,NA
"Gm11946","Gm11946","102637250",NA,NA
"Gm34116","Gm34116","102637251",NA,NA
"Gm34118","Gm34118","102637253",NA,NA
"Gm34119","Gm34119","102637254",NA,NA
"Gm34121","Gm34121","102637256",NA,NA
"Gm28280","Gm28280","102637257",NA,NA
"Gm34122","Gm34122","102637258",NA,NA
"Gm27246","Gm27246","102637261",NA,NA
"Gm34125","Gm34125","102637262",NA,NA
"Gm12132","Gm12132","102637264",NA,NA
"Gm29507","Gm29507","102637265",NA,NA
"Gm34127","Gm34127","102637266",NA,NA
"Gm34128","Gm34128","102637267",NA,NA
"Gm11575","Gm11575","102637269",NA,NA
"Gm34130","Gm34130","102637270",NA,NA
"Gm34131","Gm34131","102637271",NA,NA
"Gm34132","Gm34132","102637272",NA,NA
"Gm34133","Gm34133","102637273",NA,NA
"Gm34136","Gm34136","102637276",NA,NA
"Gm21994","Gm21994","102637277",NA,NA
"Gm13017","Gm13017","102637278",NA,NA
"Gm34137","Gm34137","102637280",NA,NA
"Gm26988","Gm26988","102637281",NA,NA
"Mir217hg","Mir217hg","102637282",NA,NA
"Pip5k1bos","Pip5k1bos","102637283",NA,NA
"Scgb2b16-ps","Scgb2b16-ps","102637284",NA,NA
"Gm34138","Gm34138","102637285",NA,NA
"Gm34139","Gm34139","102637287",NA,NA
"Gm14882","Gm14882","102637288",NA,NA
"Gm34140","Gm34140","102637289",NA,NA
"Gm15151","Gm15151","102637290",NA,NA
"Gm34143","Gm34143","102637294",NA,NA
"Gm29337","Gm29337","102637295",NA,NA
"Gm34145","Gm34145","102637297",NA,NA
"Gm34146","Gm34146","102637298",NA,NA
"Gm20714","Gm20714","102637299",NA,NA
"Gm34147","Gm34147","102637300",NA,NA
"Gm34148","Gm34148","102637301",NA,NA
"Gm16976","Gm16976","102637302",NA,NA
"Gm34149","Gm34149","102637303",NA,NA
"Gm34150","Gm34150","102637304",NA,NA
"Gm34152","Gm34152","102637307",NA,NA
"Gm34153","Gm34153","102637308",NA,NA
"Gm34154","Gm34154","102637309",NA,NA
"Gm34155","Gm34155","102637310",NA,NA
"Gm34156","Gm34156","102637311",NA,NA
"Gm34157","Gm34157","102637313",NA,NA
"Gm34158","Gm34158","102637314",NA,NA
"Gm34159","Gm34159","102637315",NA,NA
"Gm14249","Gm14249","102637316",NA,NA
"Gm34162","Gm34162","102637320",NA,NA
"Gm8607","Gm8607","102637322",NA,NA
"Gm29412","Gm29412","102637323",NA,NA
"Gm34165","Gm34165","102637325",NA,NA
"Gm28161","Gm28161","102637326",NA,NA
"Gm26812","Gm26812","102637329",NA,NA
"Gm34169","Gm34169","102637330",NA,NA
"Gm34170","Gm34170","102637331",NA,NA
"Gm34171","Gm34171","102637332",NA,NA
"Gm34172","Gm34172","102637333",NA,NA
"Gm34173","Gm34173","102637334",NA,NA
"Gm34174","Gm34174","102637335",NA,NA
"4930470B04Rik","4930470B04Rik","102637336",NA,NA
"Gm34175","Gm34175","102637337",NA,NA
"Gm28940","Gm28940","102637338",NA,NA
"Gm27005","Gm27005","102637339",NA,NA
"Gm34177","Gm34177","102637341",NA,NA
"Gm34178","Gm34178","102637343",NA,NA
"Gm34179","Gm34179","102637344",NA,NA
"Gm34180","Gm34180","102637345",NA,NA
"Gm34181","Gm34181","102637346",NA,NA
"Gm34182","Gm34182","102637347",NA,NA
"Gm34183","Gm34183","102637348",NA,NA
"Gm34184","Gm34184","102637349",NA,NA
"Gm34185","Gm34185","102637350",NA,NA
"Gm34186","Gm34186","102637351",NA,NA
"Gm34188","Gm34188","102637353",NA,NA
"Gm15886","Gm15886","102637354",NA,NA
"Gm34189","Gm34189","102637355",NA,NA
"Gm34190","Gm34190","102637356",NA,NA
"Gm21271","Gm21271","102637358",NA,NA
"Gm28598","Gm28598","102637359",NA,NA
"Gm34191","Gm34191","102637360",NA,NA
"Gm29476","Gm29476","102637361",NA,NA
"Gm34192","Gm34192","102637362",NA,NA
"Gm34193","Gm34193","102637363",NA,NA
"Gm34194","Gm34194","102637364",NA,NA
"Gm10037","Gm10037","102637366",NA,NA
"Gm34196","Gm34196","102637367",NA,NA
"Gm34197","Gm34197","102637368",NA,NA
"Gm34198","Gm34198","102637369",NA,NA
"Gm34199","Gm34199","102637370",NA,NA
"Gm15422","Gm15422","102637371",NA,NA
"Gm34201","Gm34201","102637373",NA,NA
"Gm34203","Gm34203","102637375",NA,NA
"Gm34204","Gm34204","102637376",NA,NA
"Gm34205","Gm34205","102637377",NA,NA
"Gm34206","Gm34206","102637378",NA,NA
"Gm34207","Gm34207","102637379",NA,NA
"Gm34208","Gm34208","102637380",NA,NA
"Gm17171","Gm17171","102637381",NA,NA
"Gm34209","Gm34209","102637382",NA,NA
"Gm34210","Gm34210","102637383",NA,NA
"Gm34211","Gm34211","102637384",NA,NA
"Gm34213","Gm34213","102637386",NA,NA
"Gm34214","Gm34214","102637387",NA,NA
"Gm14286","Gm14286","102637388",NA,NA
"Gm13021","Gm13021","102637389",NA,NA
"Scgb2b32-ps","Scgb2b32-ps","102637391",NA,NA
"Gm34215","Gm34215","102637392",NA,NA
"Gm9208","Gm9208","102637393",NA,NA
"Gm34217","Gm34217","102637395",NA,NA
"Gm28244","Gm28244","102637396",NA,NA
"Gm28522","Gm28522","102637397",NA,NA
"Gm34218","Gm34218","102637398",NA,NA
"Gm34220","Gm34220","102637400",NA,NA
"Gm29285","Gm29285","102637401",NA,NA
"Gm53067","Gm53067","102637404",NA,NA
"Gm34222","Gm34222","102637405",NA,NA
"Gm34223","Gm34223","102637406",NA,NA
"Gm34224","Gm34224","102637407",NA,NA
"Gm34225","Gm34225","102637410",NA,NA
"Gm38498","Gm38498","102637411",NA,NA
"Gm34226","Gm34226","102637413",NA,NA
"Gm34227","Gm34227","102637414",NA,NA
"Gm34229","Gm34229","102637416",NA,NA
"Gm7735","Gm7735","102637417",NA,NA
"4930540E01Rik","4930540E01Rik","102637419",NA,NA
"Gm34231","Gm34231","102637421",NA,NA
"Gm34232","Gm34232","102637422",NA,NA
"Gm34233","Gm34233","102637423",NA,NA
"Gm34235","Gm34235","102637425",NA,NA
"Gm34237","Gm34237","102637427",NA,NA
"Gm34240","Gm34240","102637430",NA,NA
"Gm34241","Gm34241","102637431",NA,NA
"Gm21765","Gm21765","102637433",NA,NA
"Gm34243","Gm34243","102637435",NA,NA
"Gm26560","Gm26560","102637436",NA,NA
"Gm34244","Gm34244","102637437",NA,NA
"Gm53063","Gm53063","102637438",NA,NA
"Gm34246","Gm34246","102637439",NA,NA
"Gm34248","Gm34248","102637441",NA,NA
"Gm16208","Gm16208","102637442",NA,NA
"Gm34249","Gm34249","102637443",NA,NA
"Gm34250","Gm34250","102637444",NA,NA
"Gm34251","Gm34251","102637445",NA,NA
"Gm34252","Gm34252","102637446",NA,NA
"Gm34253","Gm34253","102637447",NA,NA
"Gm11732","Gm11732","102637448",NA,NA
"Gm34254","Gm34254","102637449",NA,NA
"Gm34255","Gm34255","102637450",NA,NA
"Gm34256","Gm34256","102637452",NA,NA
"Gm34257","Gm34257","102637453",NA,NA
"Gm34258","Gm34258","102637454",NA,NA
"Gm16547","Gm16547","102637455",NA,NA
"Gm34259","Gm34259","102637456",NA,NA
"Gm34261","Gm34261","102637458",NA,NA
"Gm34262","Gm34262","102637459",NA,NA
"Gm34263","Gm34263","102637460",NA,NA
"Gm34264","Gm34264","102637461",NA,NA
"Gm34265","Gm34265","102637462",NA,NA
"Gm34266","Gm34266","102637463",NA,NA
"Gm34267","Gm34267","102637464",NA,NA
"Gm34268","Gm34268","102637465",NA,NA
"Gm34269","Gm34269","102637466",NA,NA
"Gm34270","Gm34270","102637467",NA,NA
"Gm6964","Gm6964","102637469",NA,NA
"Gm34272","Gm34272","102637470",NA,NA
"Gm34273","Gm34273","102637471",NA,NA
"Gm34274","Gm34274","102637472",NA,NA
"Gm21771","Gm21771","102637473",NA,NA
"Gm29637","Gm29637","102637475",NA,NA
"Gm21757","Gm21757","102637476",NA,NA
"Gm34276","Gm34276","102637478",NA,NA
"Gm34277","Gm34277","102637479",NA,NA
"Zar1-ps","Zar1-ps","102637480",NA,NA
"Gm34278","Gm34278","102637481",NA,NA
"Gm9171","Gm9171","102637483",NA,NA
"Gm34280","Gm34280","102637485",NA,NA
"Gm34281","Gm34281","102637486",NA,NA
"Gm34282","Gm34282","102637487",NA,NA
"Gm34283","Gm34283","102637489",NA,NA
"Gm34284","Gm34284","102637490",NA,NA
"4930556I23Rik","4930556I23Rik","102637491",NA,NA
"A730035I17Rik","A730035I17Rik","102637492",NA,NA
"Gm34286","Gm34286","102637493",NA,NA
"Gm34287","Gm34287","102637494",NA,NA
"LOC102637495","LOC102637495","102637495",NA,NA
"Gm34288","Gm34288","102637496",NA,NA
"Gm34289","Gm34289","102637497",NA,NA
"Gm34290","Gm34290","102637498",NA,NA
"Gm34291","Gm34291","102637499",NA,NA
"Gm34292","Gm34292","102637500",NA,NA
"Gm34293","Gm34293","102637501",NA,NA
"Gm34295","Gm34295","102637503",NA,NA
"Gm34296","Gm34296","102637505",NA,NA
"Gm34297","Gm34297","102637506",NA,NA
"Gm34298","Gm34298","102637507",NA,NA
"Gm34299","Gm34299","102637508",NA,NA
"Gm34300","Gm34300","102637509",NA,NA
"Gm34301","Gm34301","102637510",NA,NA
"Strit1","Strit1","102637511",100507537,"STRIT1"
"Gm34303","Gm34303","102637513",NA,NA
"Gm34304","Gm34304","102637514",NA,NA
"Gm19417","Gm19417","102637515",NA,NA
"Gm29413","Gm29413","102637516",NA,NA
"Gm34305","Gm34305","102637517",NA,NA
"Gm28284","Gm28284","102637518",NA,NA
"Gm34306","Gm34306","102637519",NA,NA
"Gm34307","Gm34307","102637520",NA,NA
"Gm15736","Gm15736","102637521",NA,NA
"Gm34311","Gm34311","102637525",NA,NA
"Gm34312","Gm34312","102637526",NA,NA
"Gm34313","Gm34313","102637527",NA,NA
"Gm34314","Gm34314","102637528",NA,NA
"Gm34315","Gm34315","102637529",NA,NA
"Gm34316","Gm34316","102637530",NA,NA
"Gm34317","Gm34317","102637531",NA,NA
